MATLAB pan tompkins beat indices,MIT database beat indices
315,355
1128,794
1920,1295
2614,1749
3307,2190
4114,2645
4895,3130
5586,3587
6300,4036
7106,4497
7869,4968
8569,5427
9306,5886
10098,6349
10845,6809
11564,7269
12322,7736
13087,8198
13826,8651
14572,9112
15335,9583
16071,10044
16811,10495
17586,10957
18338,11428
19051,11888
19803,12342
20598,12803
21331,13270
22024,13733
22794,14191
23600,14648
24313,15111
24997,15579
25781,16040
26590,16492
27289,16953
27969,17426
28760,17887
29571,18335
30266,18797
30944,19273
31733,19731
32547,20177
33246,20642
33924,21119
34707,21573
35521,22019
36229,22489
36908,22964
37682,23414
38494,23863
39214,24336
39899,24806
40667,25254
41472,25709
42197,26183
42894,26645
43660,27091
44453,27550
45181,28016
45891,28461
46659,28892
47443,29328
48168,29759
48888,30163
49663,30551
50435,30942
51154,31337
51881,31721
52666,32092
53429,32462
54136,32842
54870,33226
55671,33603
56423,33971
57113,34340
57856,34718
58668,35100
59408,35476
0,35846
0,36217
0,36593
0,36972
0,37348
0,37722
0,38093
0,38466
0,38843
0,39221
0,39598
0,39970
0,40340
0,40714
0,41095
0,41475
0,41845
0,42212
0,42586
0,42969
0,43351
0,43719
0,44083
0,44458
0,44845
0,45226
0,45590
0,45952
0,46331
0,46721
0,47099
0,47458
0,47820
0,48204
0,48598
0,48970
0,49324
0,49687
0,50078
0,50472
0,50839
0,51187
0,51552
0,51949
0,52344
0,52704
0,53049
0,53418
0,53819
0,54212
0,54568
0,54912
0,55283
0,55687
0,56078
0,56431
0,56776
0,57150
0,57553
0,57941
0,58295
0,58642
0,59020
0,59420